block;russian;fr;es;pt;ar;zh
core_3000;спря́тать;cacher;ocultar;ocultar;إخفاء;隐藏
core_3000;призва́ть;convocation;convocar;convocar;الاستدعاء;召唤
core_3000;не́когда;pas le temps;no hay tiempo;sem tempo;لا وقت;没时间
core_3000;награ́да (ж.р.);récompense;recompensa;recompensa;أجر;奖励
core_3000;добы́ча (ж.р.);production;producción;produção;الإنتاج;生产
core_3000;своеобра́зный (м.р.);particulier;peculiar;peculiar;غريبة;奇特
core_3000;проти́вный (м.р.);méchant;desagradable;desagradável;سيئة;讨厌
core_3000;ца́рство (с.р.);royaume;reino;reino;المملكة;王国
core_3000;я́рко;brillant;brillante;brilhante;مشرقة;明亮
core_3000;революцио́нный (м.р.);révolutionnaire;revolucionario;revolucionário;الثورية;革命性的
core_3000;течь (ж.р.);flux;flujo;fluxo;التدفق;流量
core_3000;молоде́ц (м.р.);bravo;bien hecho;muito bem;أحسنت;干得好
core_3000;пресле́довать;poursuivre;perseguir;perseguir;متابعة;追求
core_3000;немно́жко;un peu;un poco;um pouco;قليلا;一点
core_3000;ступе́нь (ж.р.);étape;etapa;estágio;المرحلة;阶段
core_3000;корпорати́вный (м.р.);entreprise;corporativo;corporativo;الشركات;企业
core_3000;взаи́мный (м.р.);mutuelle;mutuo;mútuo;متبادلة;相互
core_3000;госуда́рь (м.р.);souverain;soberano;soberano;السيادة;主权
core_3000;леге́нда (ж.р.);légende;leyenda;legenda;الأسطورة;传说
core_3000;оппози́ция (ж.р.);opposition;oposición;oposição;المعارضة;反对
core_3000;установле́ние (с.р.);établissement;establecimiento;estabelecimento;المنشأة;设立
core_3000;бли́жний (м.р.);près;cerca;perto;قريب;附近
core_3000;вплоть;jusqu'à;hasta;até;حتى;最多
core_3000;гра́дус (м.р.);degrés;grados;graus;درجة;度
core_3000;ора́ть;crier;gritar;gritar;الصراخ;喊
core_3000;экземпля́р (м.р.);exemple;instancia;instância;المثال;实例
core_3000;демонстри́ровать;démontrent;demostrar;demonstrar;الإظهار;展示
core_3000;хо́лодно;froid;frío;frio;البرد;冷
core_3000;предположе́ние (с.р.);hypothèse;suposición;suposição;الفرض;假设
core_3000;хране́ние (с.р.);stockage;almacenamiento;armazenamento;التخزين;存储
core_3000;благоро́дный (м.р.);noble;noble;nobre;نبيلة;高贵
core_3000;грози́ть;menace;amenazar;ameaçar;التهديد;威胁
core_3000;позна́ние (с.р.);cognition;cognición;cognição;الإدراك;认知
core_3000;торча́ть;reste dans les parages;quédate por aquí;fique por aqui;التزموا;留下来
core_3000;изда́тельство (с.р.);maison d'édition;editorial;editora;دار النشر;出版社
core_3000;дви́нуться;bouger;mover;mover;تحرك;移动
core_3000;неуда́ча (ж.р.);échec;fracaso;falha;الفشل;失败
core_3000;изда́ть;publier;publicar;publicar;نشر;发布
core_3000;пу́шка (ж.р.);pistolet;arma;arma;البندقية;枪
core_3000;слома́ть;pause;descanso;pausa;استراحة;打破
core_3000;муниципа́льный (м.р.);municipale;municipal;municipal;البلدية;市级
core_3000;пасть;bouche;boca;boca;الفم;嘴
core_3000;снаря́д (м.р.);projectile;proyectil;projétil;مقذوف;射弹
core_3000;сумасше́дший (м.р.);fou;loco;louco;مجنون;疯狂
core_3000;му́дрость (ж.р.);sagesse;sabiduría;sabedoria;الحكمة;智慧
core_3000;мра́чный (м.р.);sombre;sombrío;sombrio;قاتمة;阴沉
core_3000;исполни́тельный (м.р.);exécutif;ejecutivo;executivo;التنفيذية;执行官
core_3000;ядро́ (с.р.);noyau;núcleo;núcleo;النواة;核心
core_3000;исто́рик (м.р.);historien;historiador;historiador;مؤرخ;历史学家
core_3000;медици́на (ж.р.);médecine;medicina;remédio;الطب;医学
core_3000;виртуа́льный (м.р.);virtuel;virtuales;virtuais;افتراضية;虚拟
core_3000;тяну́ться;étirer;estirar;alongamento;تمتد;伸展
core_3000;те́сный (м.р.);serré;apretado;apertado;ضيق;紧
core_3000;предо́к (м.р.);ancêtre;antepasado;ancestral;سلف;祖先
core_3000;россия́нин (м.р.);Russe;ruso;Russo;الروسية;俄语
core_3000;рассужде́ние (с.р.);raisonnement;razonamiento;raciocínio;الاستدلال;推理
core_3000;доста́ться;obtenir;obtener;obter;الحصول على;得到
core_3000;предприня́ть;prendre;tomar;pegue;خذ;采取
core_3000;расположе́ние (с.р.);emplacement;ubicación;localização;الموقع;位置
core_3000;базовы́й (м.р.);de base;básico;básico;الأساسية;基本
core_3000;сержа́нт (м.р.);Sergent;Sargento;Sargento;رقيب;中士
core_3000;престу́пник (м.р.);criminel;criminal;criminoso;مجرم;刑事
core_3000;ви́дение (с.р.);vision;visión;visão;الرؤية;愿景
core_3000;класть;mettre;poner;colocar;ضع;把
core_3000;избира́тельный (м.р.);sélectif;selectivo;seletivo;انتقائية;选择性
core_3000;электри́ческий (м.р.);électrique;eléctrico;elétrica;الكهربائية;电气
core_3000;волнова́ть;s'inquiéter;preocupación;preocupação;القلق;担心
core_3000;ра́на (ж.р.);blessure;herida;ferida;الجرح;伤口
core_3000;гига́нтский (м.р.);gigantesque;gigantesco;gigantesco;العملاق;巨大的
core_3000;ца́рский (м.р.);royale;real;real;ملكي;皇家
core_3000;слова́рь (м.р.);dictionnaire;diccionario;dicionário;القاموس;字典
core_3000;ка́федра (ж.р.);département;departamento;departamento;القسم;部门
core_3000;тотча́с;immédiatement;inmediatamente;imediatamente;على الفور;立即
core_3000;мышь (ж.р.);souris;ratón;rato;الفأرة;鼠标
core_3000;зака́зчик (м.р.);client;cliente;cliente;العميل;客户
core_3000;сме́ртный (м.р.);mortels;mortales;mortais;البشر;凡人
core_3000;подписа́ться;abonnez-vous;suscríbete;inscreva-se;الاشتراك;订阅
core_3000;дурно́й (м.р.);mauvais;malo;ruim;سيئة;不好
core_3000;технологи́ческий (м.р.);technologique;tecnológico;tecnológico;التكنولوجية;技术
core_3000;блю́до (с.р.);plat;plato;prato;طبق;菜
core_3000;би́ться;battre;ritmo;batida;تغلب;击败
core_3000;посо́л (м.р.);ambassadeur;embajador;embaixador;سفير;大使
core_3000;ла́па (ж.р.);patte;pata;pata;مخلب;爪子
core_3000;поза́ (ж.р.);pose;pose;pose;الوضعية;姿势
core_3000;стари́нный (м.р.);antiquité;antiguo;antigo;العتيقة;古董
core_3000;волне́ние (с.р.);excitation;emoción;excitação;الإثارة;兴奋
core_3000;верёвка (ж.р.);corde;cuerda;corda;الحبل;绳子
core_3000;придава́ть;donner;dar;dar;أعط;给
core_3000;аккура́тно;soigneusement;cuidadosamente;com cuidado;بعناية;仔细
core_3000;руководи́ть;guide;guía;guia;الدليل;指南
core_3000;ро́та (ж.р.);entreprise;empresa;empresa;شركة;公司
core_3000;психи́ческий (м.р.);mental;mental;mentais;عقلي;精神
core_3000;тётя (ж.р.);tante;tía;tia;عمة;阿姨
core_3000;нра́вственный (м.р.);morale;moraleja;morais;أخلاقية;道德
core_3000;поста́вка (ж.р.);livraison;entrega;entrega;التسليم;交付
core_3000;размышле́ние (с.р.);réflexion;reflexión;reflexão;التفكر;反思
core_3000;беспоко́иться;inquiétude;preocupación;preocupação;القلق;担心
core_3000;архитекту́ра (ж.р.);architecture;arquitectura;arquitetura;العمارة;架构
core_3000;математи́ческий (м.р.);mathématique;matemático;matemático;رياضية;数学
core_3000;пры́гать;sauter;saltar;pular;القفز;跳转
core_3000;свя́зывать;lier;enlazar;vincular;الربط;绑定
core_3000;наруша́ть;violer;violar;violar;مخالفة;违反
core_3000;сро́чно;de toute urgence;urgentemente;com urgência;عاجلا;紧急
core_3000;оде́ть;mettre;ponerse;colocar;لبس;穿上
core_3000;му́ка (ж.р.);farine;harina;farinha;الدقيق;面粉
core_3000;приступи́ть;démarrer;inicio;início;البداية;开始
core_3000;отчи́й (м.р.);pères;padres;pais;الآباء;父亲们
core_3000;достава́ть;obtenir;obtener;obter;الحصول على;得到
core_3000;изложи́ть;état;estado;estado;الدولة;状态
core_3000;автомати́чески;automatiquement;automáticamente;automaticamente;تلقائيا;自动
core_3000;хими́ческий (м.р.);chimique;químico;químico;كيميائية;化学
core_3000;ука́з (м.р.);décret;decreto;decreto;مرسوم;法令
core_3000;шко́льник (м.р.);écolier;colegial;estudante;تلميذ;男学生
core_3000;общи́на (ж.р.);communauté;comunidad;comunidade;المجتمع;社区
core_3000;ла́мпа (ж.р.);lampe;lámpara;lâmpada;مصباح;灯
core_3000;мате́рия (ж.р.);importe;importa;importa;المسألة;事
core_3000;столкну́ться;entrer en collision;chocar;colidir;اصطدام;碰撞
core_3000;актуа́льный (м.р.);pertinent;relevante;relevante;ذات صلة;相关
core_3000;ве́теран (м.р.);vétéran;veterano;veterano;مخضرم;老兵
core_3000;рок (м.р.);roche;roca;pedra;صخرة;摇滚
core_3000;разры́в (м.р.);écart;brecha;lacuna;الفجوة;差距
core_3000;жило́й (м.р.);résidentiel;residencial;residencial;سكني;住宅
core_3000;лице́нзия (ж.р.);licence;licencia;licença;الترخيص;许可证
core_3000;заме́на (ж.р.);remplacement;reemplazo;substituição;الاستبدال;替换
core_3000;заду́мываться;pense;pensar;pense;فكر;认为
core_3000;организа́тор (м.р.);organisateur;organizador;organizador;المنظم;组织者
core_3000;прогу́лка (ж.р.);marcher;caminar;caminhar;المشي;步行
core_3000;ужа́сно;terrible;terrible;terrível;رهيب;太可怕了
core_3000;короле́вский (м.р.);royale;real;real;ملكي;皇家
core_3000;смени́ть;changement;cambio;mudança;التغيير;改变
core_3000;пустота́ (ж.р.);le vide;vacío;vazio;الفراغ;空虚
core_3000;опаса́ться;attention;cuidado;cuidado;احذر;小心
core_3000;подобра́ть;récupérer;recoger;pegar;التقط;拾起
core_3000;ад (м.р.);l'enfer;infierno;inferno;الجحيم;地狱
core_3000;образова́тельный (м.р.);éducatif;educativo;educacional;تعليمية;教育
core_3000;рискова́ть;prendre des risques;tomar riesgos;correr riscos;المخاطرة;承担风险
core_3000;комменти́ровать;commentaire;comentario;comentário;التعليق;评论
core_3000;трени́ровка (ж.р.);formation;entrenamiento;treinamento;التدريب;培训
core_3000;осознава́ть;réaliser;darse cuenta;perceber;أدرك;意识到
core_3000;рассужда́ть;raison;razón;razão;السبب;原因
core_3000;ежедне́вно;quotidiennement;diariamente;diariamente;يوميا;每日
core_3000;грань (ж.р.);bord;borde;borda;الحافة;边缘
core_3000;боже́ственный (м.р.);divin;divina;divino;الإلهية;神圣的
core_3000;мо́лодость (ж.р.);jeunes;juventud;juventude;الشباب;青年
core_3000;ю́мор (м.р.);humour;humor;humor;الفكاهة;幽默
core_3000;мя́гко;doucement;suavemente;suavemente;بهدوء;轻轻地
core_3000;твёрдо;fermement;firmemente;firmemente;بقوة;坚决
core_3000;банко́вский (м.р.);bancaire;banca;bancário;الخدمات المصرفية;银行业
core_3000;страхово́й (м.р.);assurance;seguro;seguro;التأمين;保险
core_3000;уничтоже́ние (с.р.);destruction;destrucción;destruição;الدمار;破坏
core_3000;усто́йчивый (м.р.);durable;sostenible;sustentável;مستدامة;可持续
core_3000;алкого́ль (м.р.);alcool;alcohol;álcool;الكحول;酒精
core_3000;пострада́ть;souffrent;sufrir;sofrer;يعاني;受苦
core_3000;диза́йн (м.р.);conception;diseño;projeto;التصميم;设计
core_3000;пригово́р (м.р.);phrase;oración;frase;الجملة;句
core_3000;краси́во;magnifique;hermosa;lindo;جميل;美丽
core_3000;гаранти́ровать;garantie;garantía;garantia;ضمان;保证
core_3000;охо́тник (м.р.);chasseur;cazador;caçador;صياد;猎人
core_3000;рассле́дование (с.р.);enquête;investigación;investigação;التحقيق;调查
core_3000;беспла́тно;gratuit;gratis;grátis;مجانا;免费
core_3000;спа́льня (ж.р.);chambre;dormitorio;quarto;غرفة النوم;卧室
core_3000;просмо́тр (м.р.);vue;ver;visualizar;عرض;查看
core_3000;соотноше́ние (с.р.);ratio;relación;ratio;النسبة;比率
core_3000;белору́сский (м.р.);biélorusse;bielorruso;Bielorrusso;البيلاروسية;白俄罗斯语
core_3000;про́за (ж.р.);prose;prosa;prosa;النثر;散文
core_3000;полномо́чие (с.р.);autorité;autoridad;autoridade;السلطة;权威
core_3000;располага́ться;être localisé;estar ubicado;estar localizado;يقع;位于
core_3000;попра́вка (ж.р.);amendement;enmienda;alteração;التعديل;修正案
core_3000;ощути́ть;sentir;sentir;sentir;يشعر;感觉
core_3000;сканда́л (м.р.);scandale;escándalo;escândalo;فضيحة;丑闻
core_3000;голо́дный (м.р.);faim;hambriento;com fome;جائع;饿了
core_3000;пла́мя (с.р.);flamme;llama;chama;اللهب;火焰
core_3000;логи́ческий (м.р.);logique;lógico;lógico;منطقية;逻辑
core_3000;совпада́ть;correspondance;partido;correspondência;المباراة;匹配
core_3000;одея́ло (с.р.);couverture;manta;cobertor;بطانية;毯子
core_3000;взаимоотношение (с.р.);relation;relación;relacionamento;العلاقة;关系
core_3000;изобража́ть;représentent;representar;retratar;تصوير;描绘
core_3000;набира́ть;cadran;marcar;discagem;الاتصال الهاتفي;拨号
core_3000;укрепле́ние (с.р.);renforcement;fortalecimiento;fortalecimento;تقوية;强化
core_3000;вводи́ть;entrez;entrar;entrar;أدخل;输入
core_3000;фа́брика (ж.р.);usine;fábrica;fábrica;المصنع;工厂
core_3000;сторо́нник (м.р.);partisan;partidario;apoiador;مؤيد;支持者
core_3000;направля́ть;direct;directo;direto;مباشر;直接
core_3000;съёмка (ж.р.);tir;disparo;tiro;إطلاق النار;拍摄
core_3000;слепо́й (м.р.);aveugle;ciego;cego;أعمى;盲目
core_3000;пеще́ра (ж.р.);grotte;cueva;caverna;الكهف;洞穴
core_3000;энергети́ческий (м.р.);énergie;energía;energia;الطاقة;能源
core_3000;ры́жий (м.р.);rousses;pelirrojas;ruivas;حمر الشعر;红发女郎
core_3000;учёба (ж.р.);étude;estudio;estudo;دراسة;研究
core_3000;у́тренний (м.р.);matin;mañana;manhã;الصباح;早上
core_3000;че́тверть (ж.р.);trimestre;cuarto;trimestre;الربع;四分之一
core_3000;всеми́рный (м.р.);dans le monde entier;en todo el mundo;em todo o mundo;على مستوى العالم;全世界
core_3000;соверше́нный (м.р.);parfait;perfecto;perfeito;الكمال;完美
core_3000;оформле́ние (с.р.);conception;diseño;projeto;التصميم;设计
core_3000;поду́шка (ж.р.);oreiller;almohada;travesseiro;الوسادة;枕头
core_3000;полага́ться;compter;confiar;confiar;الاعتماد;依靠
core_3000;за́мысел (м.р.);plan;plano;plano;الخطة;计划
core_3000;цветно́й (м.р.);couleur;color;cor;اللون;颜色
core_3000;мане́ра (ж.р.);manière;manera;maneira;الطريقة;方式
core_3000;возрази́ть;objet;objeto;objeto;الكائن;对象
core_3000;призы́в (м.р.);appeler;llamada;chamada;نداء;致电
core_3000;утверди́ть;approuve;aprobar;aprovar;الموافقة;批准
core_3000;гре́ческий (м.р.);grec;Griego;Grego;اليونانية;希腊语
core_3000;мони́тор (м.р.);moniteur;monitorear;monitorar;مراقب;监视器
core_3000;дра́кон (м.р.);dragon;dragón;dragão;التنين;龙
core_3000;регуля́рно;régulièrement;regularmente;regularmente;بانتظام;定期
core_3000;вы́ставить;réglé;establecer;definir;مجموعة;设置
core_3000;препя́тствие (с.р.);obstacle;obstáculo;obstáculo;العائق;障碍
core_3000;волше́бный (м.р.);magique;mágico;mágico;سحرية;神奇
core_3000;истреби́тель (м.р.);combattant;luchador;lutador;مقاتل;战斗机
core_3000;матч (м.р.);correspondance;partido;correspondência;المباراة;比赛
core_3000;фона́рь (м.р.);lanterne;linterna;lanterna;فانوس;灯笼
core_3000;официа́льно;officiellement;oficialmente;oficialmente;رسميًا;正式
core_3000;подтвержде́ние (с.р.);confirmation;confirmación;confirmação;التأكيد;确认
core_3000;седьмо́й (м.р.);septième;séptimo;sétimo;السابعة;第七
core_3000;производи́ться;être produit;ser producido;ser produzido;يتم إنتاجه;被生产
core_3000;ука́занный (м.р.);spécifié;especificado;especificado;محدد;指定
core_3000;дли́ться;dernier;último;último;الاخير;最后
core_3000;настро́ить;configurer;configurar;configurar;تكوين;配置
core_3000;департа́мент (м.р.);département;departamento;departamento;القسم;部门
core_3000;флаг (м.р.);drapeau;bandera;bandeira;العلم;标志
core_3000;владе́ние (с.р.);possession;posesión;posse;الحيازة;拥有
core_3000;эли́та (ж.р.);élite;élite;elite;النخبة;精英
core_3000;батаре́я (ж.р.);batterie;batería;bateria;البطارية;电池
core_3000;приключе́ние (с.р.);aventure;aventura;aventura;المغامرة;冒险
core_3000;посо́бие (с.р.);manuel;manual;manual;الدليل;手册
core_3000;серви́с (м.р.);service;servicio;serviço;الخدمة;服务
core_3000;любопы́тный (м.р.);curieux;curioso;curioso;فضولي;好奇
core_3000;покида́ть;partir;salir;sair;إجازة;离开
core_3000;успева́ть;continuez;sigue el ritmo;acompanhe;تابع;跟上
core_3000;коммунисти́ческий (м.р.);communiste;comunista;comunista;الشيوعية;共产主义
core_3000;му́дрый (м.р.);sage;sabio;sábio;حكيم;明智的
core_3000;норма́льно;d'accord;bien;ok;طيب;好的
core_3000;пуска́ть;laissez;dejar;deixe;دع;让
core_3000;бле́дный (м.р.);pâle;pálido;pálido;شاحب;苍白
core_3000;вор (м.р.);voleur;ladrón;ladrão;سارق;小偷
core_3000;обрести́;gagner;ganancia;ganho;الربح;增益
core_3000;доро́жка (ж.р.);piste;pista;faixa;المسار;轨道
core_3000;посла́ние (с.р.);message;mensaje;mensagem;الرسالة;消息
core_3000;вну́к (м.р.);petit-fils;nieto;neto;الحفيد;孙子
core_3000;выража́ться;exprimer;expresar;expresso;صريحة;表达
core_3000;неприя́тность (ж.р.);problème;problema;problemas;مشكلة;麻烦
core_3000;око́нчить;terminer;terminar;terminar;انتهى;完成
core_3000;рассве́т (м.р.);l'aube;amanecer;amanhecer;الفجر;黎明
core_3000;склон (м.р.);pente;pendiente;inclinação;المنحدر;坡度
core_3000;прови́нция (ж.р.);province;provincia;província;المحافظة;省
core_3000;сформули́ровать;formuler;formular;formular;صياغته;制定
core_3000;недалеко́;pas loin;no muy lejos;não muito longe;ليس ببعيد;不远
core_3000;подря́д;d'affilée;seguidos;seguidas;على التوالي;连续
core_3000;пляж (м.р.);plage;playa;praia;الشاطئ;海滩
core_3000;попа́сться;se faire prendre;quedar atrapado;ser pego;القبض عليه;被抓住
core_3000;вы́жить;survivre;sobrevivir;sobreviver;البقاء;生存
core_3000;ко́нчить;sperme;semen;porra;نائب الرئيس;暨
core_3000;благода́рный (м.р.);reconnaissant;agradecido;grato;شاكرا;感激不尽
core_3000;хозя́йственный (м.р.);économique;económico;econômico;اقتصادية;经济
core_3000;поинтересова́ться;se renseigner;preguntar;pergunte;استفسار;查询
core_3000;перо́ (с.р.);plume version;pluma;pena;ريشة;羽毛
core_3000;мо́дный (м.р.);à la mode;de moda;na moda;الموضة;时尚
core_3000;перестава́ть;arrête;detener;parar;توقف;停止
core_3000;игрово́й (м.р.);jeux;juegos;jogos;الألعاب;游戏
core_3000;спаса́ть;sauvegarder;guardar;salvar;حفظ;保存
core_3000;избега́ть;éviter;evitar;evitar;تجنب;避免
core_3000;горди́ться;sois fier;estar orgulloso;tenha orgulho;افتخر;感到自豪
core_3000;запо́лнить;remplir;completar;preencher;أكمل;填写
core_3000;маркети́нг (м.р.);commercialisation;mercadeo;marketing;التسويق;营销
core_3000;железнодоро́жный (м.р.);chemin de fer;ferrocarril;ferrovia;السكة الحديد;铁路
core_3000;бра́ться;prendre;tomar;pegue;خذ;采取
core_3000;кни́жный (м.р.);livre;libro;livro;كتاب;书
core_3000;любопы́тство (с.р.);curiosité;curiosidad;curiosidade;الفضول;好奇心
core_3000;предполага́ться;être supposé;se supone;ser assumido;يفترض;假设
core_3000;ритм (м.р.);rythme;ritmo;ritmo;الإيقاع;节奏
core_3000;заверше́ние (с.р.);achèvement;finalización;conclusão;الإكمال;完成
core_3000;по́двиг (м.р.);exploit;hazaña;façanha;الفذ;壮举
core_3000;води́ть;conduire;conducir;dirigir;القيادة;驱动器
core_3000;обману́ть;tromper;engañar;enganar;الخداع;欺骗
core_3000;пило́т (м.р.);pilote;piloto;piloto;طيار;飞行员
core_3000;отзы́в (м.р.);avis;reseña;revisão;مراجعة;评论
core_3000;голосова́ние (с.р.);vote;votación;votação;التصويت;投票
core_3000;ми́ссис (ж.р.);Mme.;Sra.;Sra.;السيدة.;夫人。
core_3000;христиани́н (м.р.);Chrétien;cristiano;Cristão;المسيحي;克里斯蒂安
core_3000;сты́дно;honte;vergüenza;vergonha;العار;耻辱
core_3000;иллю́зия (ж.р.);illusion;ilusión;ilusão;الوهم;幻觉
core_3000;ге́ний (м.р.);génies;genios;gênios;العباقرة;天才
core_3000;держа́ва (ж.р.);puissance;poder;poder;القوة;电源
core_3000;сплошно́й (м.р.);solide;sólido;sólido;الصلبة;固体
core_3000;неви́димый (м.р.);invisible;invisible;invisível;غير مرئية;看不见
core_3000;ра́достный (м.р.);joyeux;alegre;alegre;فرحاً;快乐
core_3000;акаде́мик (м.р.);académicien;académico;acadêmico;الأكاديمي;院士
core_3000;оттого́;parce que;porque;porque;لأنه;因为
core_3000;запи́сывать;écrire;escribe;escreva;اكتب;写下
core_3000;тра́сса (ж.р.);itinéraire;ruta;rota;الطريق;路线
core_3000;социалисти́ческий (м.р.);socialiste;socialista;socialista;الاشتراكي;社会主义
core_3000;дава́ться;donné;dado;dado;معطى;给定
core_3000;угрожа́ть;menace;amenazar;ameaçar;التهديد;威胁
core_3000;помести́ть;lieu;lugar;lugar;المكان;地点
core_3000;продвиже́ние (с.р.);promotion;promoción;promoção;الترقية;促销
core_3000;круго́м;tout autour;por todas partes;ao redor;حوله;到处
core_3000;предоставле́ние (с.р.);disposition;disposición;provisão;الحكم;规定
core_3000;первонача́льный (м.р.);initiale;inicial;inicial;مبدئيا;初始
core_3000;вложи́ть;joindre;adjuntar;anexar;مرفق;附上
core_3000;проте́ст (м.р.);protestation;protesta;protesto;الاحتجاج;抗议
core_3000;ограни́ченный (м.р.);limité;limitado;limitado;محدودة;有限
core_3000;выноси́ть;endurer;soportar;suportar;تحمل;忍耐
core_3000;сооруже́ние (с.р.);construction;construcción;construção;البناء;建设
core_3000;разви́тый (м.р.);développé;desarrollado;desenvolvido;متطورة;开发
core_3000;размести́ть;message;publicación;postagem;مشاركة;帖子
core_3000;тя́жесть (ж.р.);gravité;gravedad;gravidade;الشدة;严重性
core_3000;бытово́й (м.р.);ménage;hogar;família;أهل البيت;家庭
core_3000;лечи́ть;traiter;tratar;tratar;علاج;对待
core_3000;бю́джетный (м.р.);budget;presupuesto;orçamento;الميزانية;预算
core_3000;вы́года (ж.р.);avantage;beneficio;benefício;فائدة;好处
core_3000;уголо́к (м.р.);coin;esquina;canto;الزاوية;角
core_3000;переры́в (м.р.);pause;descanso;pausa;استراحة;打破
core_3000;тре́нер (м.р.);entraîneur;entrenador;treinador;المدرب;教练
core_3000;москви́ч (м.р.);Moscovite;Moscovita;Moscovita;سكان موسكو;白云母
core_3000;верх (м.р.);haut;arriba;topo;الأعلى;顶部
core_3000;удовлетвори́ть;satisfaire;satisfacer;satisfazer;يرضي;满足
core_3000;опусти́ться;descendre;bajar;descer;النزول;下去
core_3000;подавля́ть;supprimer;suprimir;suprimir;القمع;压制
core_3000;изобрази́ть;représentent;representar;retratar;تصوير;描绘
core_3000;шля́па (ж.р.);chapeau;sombrero;chapéu;القبعة;帽子
core_3000;репута́ция (ж.р.);réputation;reputación;reputação;السمعة;声誉
core_3000;добива́ться;atteindre;lograr;alcançar;تحقيق;实现
core_3000;подчёркивать;souligner;enfatizar;enfatizar;التأكيد;强调
core_3000;гроб (м.р.);cercueil;ataúd;caixão;تابوت;棺材
core_3000;ошиби́ться;faire une erreur;comete un error;cometer um erro;أخطأ;犯了一个错误
core_3000;повы́шенный (м.р.);a augmenté;aumentó;aumentou;زاد;增加
core_3000;употребле́ние (с.р.);utiliser;uso;uso;الاستعمال;使用
core_3000;вы́явить;révèle;revelar;revelar;الكشف;揭示
core_3000;бассе́йн (м.р.);piscine;piscina;piscina;بركة;池
core_3000;ра́достно;joyeusement;alegremente;alegremente;بفرح;高兴地
core_3000;мэр (м.р.);maire;alcalde;prefeito;عمدة;市长
core_3000;поясни́ть;expliquer;explicar;explicar;شرح;解释一下
core_3000;зая́вка (ж.р.);demande;aplicación;aplicação;التطبيق;应用
core_3000;внедре́ние (с.р.);mise en œuvre;implementación;implementação;التنفيذ;实施
core_3000;по-настоя́щему;pour de vrai;de verdad;de verdade;حقيقي;是真的
core_3000;валю́та (ж.р.);devise;moneda;moeda;العملة;货币
core_3000;максима́льно;maximum;máximo;máximo;الحد الأقصى;最大
core_3000;врать;mentir;mentira;mentira;كذب;谎言
core_3000;каби́на (ж.р.);cabine;cabina;cabine;المقصورة;小屋
core_3000;систе́мный (м.р.);système;sistema;sistema;النظام;系统
core_3000;милицио́нер (м.р.);policier;policía;policial;شرطي;警察
core_3000;прокуро́р (м.р.);procureur;fiscal;promotor;المدعي العام;检察官
core_3000;кри́тик (м.р.);critique;crítico;crítico;الناقد;评论家
core_3000;служе́бный (м.р.);officiel;oficial;oficial;رسمي;官方
core_3000;броди́ть;errer;deambular;vagar;يهيمون على وجوههم;徘徊
core_3000;проговори́ть;parler;hablar;falar;الحديث;谈话
core_3000;носи́тель (м.р.);transporteur;transportista;operadora;الناقل;载体
core_3000;дёшево;pas cher;barato;barato;رخيصة;便宜
core_3000;неизбе́жный (м.р.);inévitable;inevitable;inevitável;لا مفر منه;不可避免
core_3000;бельё (с.р.);sous-vêtements;ropa interior;roupa íntima;الملابس الداخلية;内衣
core_3000;отча́сти;en partie;en parte;parcialmente;جزئيا;部分
core_3000;непоня́тно;pas clair;poco claro;pouco claro;غير واضح;不清楚
core_3000;отказа́ть;refuser;rechazar;recusar;رفض;拒绝
core_3000;обще́ственность (ж.р.);publique;público;público;عامة;公开
core_3000;акти́в (м.р.);atout;activo;ativo;الأصول;活跃
core_3000;чи́сленность (ж.р.);force;fuerza;força;القوة;实力
core_3000;обойти́;fond d'écran;fondo de pantalla;papel de parede;ورق جدران;壁纸
core_3000;незаме́тно;inaperçu;desapercibido;despercebido;دون أن يلاحظها أحد;未被注意到
core_3000;заслужи́ть;méritent;merecen;merece;يستحق;值得
core_3000;отправля́ть;envoyer;enviar;enviar;أرسل;发送
core_3000;кла́дбище (с.р.);cimetière;cementerio;cemitério;المقبرة;墓地
core_3000;э́хо (с.р.);écho;eco;eco;الصدى;回声
core_3000;утрати́ть;perdre;perder;perder;الخسارة;失去
core_3000;сла́вный (м.р.);glorieux;glorioso;glorioso;مجيد;光荣
core_3000;евро́ (с.р.);euros;euros;euros;اليورو;欧元
core_3000;поса́дка (ж.р.);atterrissage Icône;aterrizaje;pouso ícone;الهبوط;着陆
core_3000;икона́ (ж.р.);icon;icono;icon;أيقونة;图标
core_3000;после́довательность (ж.р.);séquence;secuencia;sequência;التسلسل;序列
core_3000;две́сти;deux cents;doscientos;duzentos;مائتين;两百
core_3000;вчера́шний (м.р.);d'hier;de ayer;ontem;يوم أمس;昨天的
core_3000;шо́у (с.р.);montrer;mostrar;mostrar;عرض;显示
core_3000;удо́бно;pratique;conveniente;conveniente;مريحة;方便
core_3000;шути́ть;blague;broma;piada;نكتة;笑话
core_3000;храни́ться;stocké;almacenado;armazenado;محفوظ;已存储
core_3000;батальо́н (м.р.);bataillon;batallón;batalhão;كتيبة;营
core_3000;показа́ние (с.р.);lecture;leyendo;leitura;القراءة;阅读
core_3000;специа́льность (ж.р.);spécialité;especialidad;especialidade;التخصص;专业
core_3000;пове́сить;accrocher;colgar;pendurar;تعليق;挂
core_3000;тро́гать;toucher;toque;toque;اللمس;触摸
core_3000;рассчита́ть;calculer;calcular;calcular;احسب;计算
core_3000;арестова́ть;arrestation;arresto;prisão;الاعتقال;逮捕
